C0023791,MENTIONED_IN,25324467,MENTIONED_IN,C1283912,LOCATION_OF,C0033148,3
C0023791,ADMINISTERED_TO__SPEC__,C0030705,TREATS,C0033148,C0033148,2
C0023791,INHIBITS,C0017822,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,INHIBITS,C0017822,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,INHIBITS,C0007367,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0282641,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0164786,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,STIMULATES,C0164786,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0013080,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,INHIBITS,C0017817,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,STIMULATES,C1415619,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,STIMULATES,C0118522,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,INHIBITS,C0165519,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0033684,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,ISA,C0033684,LOCATION_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0027361,INTERACTS_WITH,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0027361,INTERACTS_WITH,C0030705,TREATS,C0033148,3
C0023791,PREVENTS,C0242606,AFFECTS,C0030705,TREATS,C0033148,3
C0023791,DISRUPTS,C0021368,AFFECTS,C0030705,TREATS,C0033148,3
C0023791,USES,C3540512,AFFECTS,C0030705,TREATS,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,AFFECTS,C0030705,TREATS,C0033148,3
C0023791,USES,C0087111,AFFECTS,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0338656,AFFECTS,C0030705,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,AFFECTS,C0030705,TREATS,C0033148,3
C0023791,INHIBITS,C0127400,TREATS,C0030705,TREATS,C0033148,3
C0023791,USES,C0242297,TREATS,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C1254351,TREATS,C0030705,TREATS,C0033148,3
C0023791,ISA,C1254351,TREATS,C0030705,TREATS,C0033148,3
C0023791,ISA,C0003402,TREATS,C0030705,TREATS,C0033148,3
C0023791,ISA,C0013227,TREATS,C0030705,TREATS,C0033148,3
C0023791,USES,C3540512,TREATS,C0030705,TREATS,C0033148,3
C0023791,USES,C0087111,TREATS,C0030705,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,AFFECTS__SPEC__,C0030705,TREATS,C0033148,3
C0023791,INHIBITS,C0017817,PART_OF,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0033684,PART_OF,C0030705,TREATS,C0033148,3
C0023791,ISA,C0033684,PART_OF,C0030705,TREATS,C0033148,3
C0023791,compared_with,C0001047,PART_OF,C0030705,TREATS,C0033148,3
C0023791,higher_than,C0001047,PART_OF,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0164786,PART_OF,C0030705,TREATS,C0033148,3
C0023791,STIMULATES,C0164786,PART_OF,C0030705,TREATS,C0033148,3
C0023791,AUGMENTS,C0206116,PART_OF,C0030705,TREATS,C0033148,3
C0023791,LOCATION_OF,C0032105,PART_OF,C0030705,TREATS,C0033148,3
C0023791,LOCATION_OF,C0027882,PART_OF,C0030705,TREATS,C0033148,3
C0023791,AFFECTS,C0007634,PART_OF,C0030705,TREATS,C0033148,3
C0023791,LOCATION_OF,C0026237,PART_OF,C0030705,TREATS,C0033148,3
C0023791,LOCATION_OF,C0006104,PART_OF,C0030705,TREATS,C0033148,3
C0023791,LOCATION_OF,C0030560,PART_OF,C0030705,TREATS,C0033148,3
C0023791,USES,C3540512,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,AFFECTS,C1442959,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,AFFECTS,C0206249,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,AUGMENTS,C0206249,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0014072,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS,C2986594,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,DISRUPTS,C0021368,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0600688,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0497327,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0338656,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,AUGMENTS,C1159527,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,AFFECTS,C0678908,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,PREVENTS,C0242606,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS__INFER__,C0013080,PROCESS_OF,C0030705,TREATS,C0033148,3
C0023791,TREATS,C0027361,ISA,C0030705,TREATS,C0033148,3
C0023791,COEXISTS_WITH__SPEC__,C0039840,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,compared_with,C0001047,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,higher_than,C0001047,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,USES,C3540512,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,COEXISTS_WITH,C0073096,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C0033684,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,ISA,C0033684,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,ISA,C0003402,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,USES,C0087111,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,ISA,C0013227,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,INTERACTS_WITH,C1254351,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
C0023791,ISA,C1254351,ADMINISTERED_TO,C0030705,TREATS,C0033148,3
