n.label,type(r),type(r1),m.label
Tumor Suppressor Genes,INTERACTS_WITH,INHIBITS,Oncogenes
Tumor Suppressor Genes,INTERACTS_WITH,INHIBITS,Oncogenes
MPE gene,INTERACTS_WITH,INHIBITS,Angiogenesis Inhibitors
Mitogen-Activated Protein Kinase Kinases,INTERACTS_WITH,INHIBITS,trametinib
EZH2 gene,INTERACTS_WITH,INHIBITS,KLF2 gene
EZH2 gene,INTERACTS_WITH,INHIBITS,KLF2 gene
Angiogenesis Inhibitors,INTERACTS_WITH,INHIBITS,MPE gene
MCL1 gene,INTERACTS_WITH,INHIBITS,Benzene ring
"Antigens, CD274",INTERACTS_WITH,INHIBITS,canagliflozin
"Antigens, CD274",INTERACTS_WITH,INHIBITS,canagliflozin
UHRF1 gene,INTERACTS_WITH,INHIBITS,MUC17 gene
UHRF1 gene,INTERACTS_WITH,INHIBITS,MUC17 gene
Hepatitis A Virus Cellular Receptor 2,INTERACTS_WITH,INHIBITS,"LGALS9 protein, human"
YAP1 gene,INTERACTS_WITH,INHIBITS,DUSP1 gene
YAP1 gene,INTERACTS_WITH,INHIBITS,DUSP1 gene
RTKN gene,INTERACTS_WITH,INHIBITS,MIR145 gene
RTKN gene,INTERACTS_WITH,INHIBITS,MIR145 gene
GOLM1 gene,INTERACTS_WITH,INHIBITS,MIR145 gene
RTKN gene,INTERACTS_WITH,INHIBITS,MIR145 gene
RTKN gene,INTERACTS_WITH,INHIBITS,MIR145 gene
GOLM1 gene,INTERACTS_WITH,INHIBITS,MIR145 gene
"Alkaline phosphatase isoenzyme, bone fraction",INTERACTS_WITH,INHIBITS,CYP1A1 gene
boswellic acid,INTERACTS_WITH,INHIBITS,uvaol
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,PHLPP1 gene
VIM gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
VIM gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
CDH2 gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
MicroRNAs,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
MicroRNAs,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
KLF4 gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
CDH1 gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
CDH1 gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
VIM gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
VIM gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
CDH2 gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
CDH17 gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
SETD2 gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
deguelin,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
PTPRA gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
KLF4 gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
PTEN gene,INTERACTS_WITH,INHIBITS,SLC22A3 wt Allele
PRDX5 gene,INTERACTS_WITH,INHIBITS,"Neurogenic Locus Notch Homolog Protein 3, human"
CD274 gene,INTERACTS_WITH,INHIBITS,EZR gene
YAP1 gene,INTERACTS_WITH,INHIBITS,EZR gene
ACE2 gene,INTERACTS_WITH,INHIBITS,Lisinopril
NSUN2 gene,INTERACTS_WITH,INHIBITS,QSOX1 gene
NSUN2 gene,INTERACTS_WITH,INHIBITS,QSOX1 gene
YBX1 gene,INTERACTS_WITH,INHIBITS,QSOX1 gene
YBX1 gene,INTERACTS_WITH,INHIBITS,QSOX1 gene
NSUN2 gene,INTERACTS_WITH,INHIBITS,QSOX1 gene
NSUN2 gene,INTERACTS_WITH,INHIBITS,QSOX1 gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,FOXO1 gene
Genes,INTERACTS_WITH,INHIBITS,Glycogen Synthase Kinase 3
PBK gene,INTERACTS_WITH,INHIBITS,xanthohumol
EZR gene,INTERACTS_WITH,INHIBITS,CD274 gene
Tumor Suppressor Genes,INTERACTS_WITH,INHIBITS,CD274 gene
IRF1 gene,INTERACTS_WITH,INHIBITS,CD274 gene
IRF1 gene,INTERACTS_WITH,INHIBITS,CD274 gene
KPNA2 gene,INTERACTS_WITH,INHIBITS,CD274 gene
ERCC5 gene,INTERACTS_WITH,INHIBITS,Platinum
POU6F1 gene,INTERACTS_WITH,INHIBITS,pyruvate dehydrogenase kinase isoform 1
Pentoxifylline,INTERACTS_WITH,INHIBITS,CHEK1 gene
Pentoxifylline,INTERACTS_WITH,INHIBITS,CHEK1 gene
PRMT5 gene,INTERACTS_WITH,INHIBITS,AKT1 gene
CYP1B1 gene,INTERACTS_WITH,INHIBITS,"Alkaline phosphatase isoenzyme, bone fraction"
CYP1A1 gene,INTERACTS_WITH,INHIBITS,"Alkaline phosphatase isoenzyme, bone fraction"
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,rho GTP-Binding Proteins
TET1 gene,INTERACTS_WITH,INHIBITS,"Genes, Neoplasm"
ENTPD1 wt Allele,INTERACTS_WITH,INHIBITS,ceritinib
ENTPD1 wt Allele,INTERACTS_WITH,INHIBITS,ceritinib
NT5E gene,INTERACTS_WITH,INHIBITS,ceritinib
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Cisplatin
Borneol,INTERACTS_WITH,INHIBITS,Cisplatin
Mubritinib,INTERACTS_WITH,INHIBITS,Cisplatin
PKM gene,INTERACTS_WITH,INHIBITS,Cisplatin
PKM gene,INTERACTS_WITH,INHIBITS,Cisplatin
C12orf5 gene,INTERACTS_WITH,INHIBITS,Cisplatin
C12orf5 gene,INTERACTS_WITH,INHIBITS,Cisplatin
"FRAP1 protein, human",INTERACTS_WITH,INHIBITS,Cisplatin
shikonin,INTERACTS_WITH,INHIBITS,Cisplatin
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,Cisplatin
USP1 gene,INTERACTS_WITH,INHIBITS,Cisplatin
TRIP13 gene,INTERACTS_WITH,INHIBITS,gefitinib
TRIP13 gene,INTERACTS_WITH,INHIBITS,gefitinib
USP37 gene,INTERACTS_WITH,INHIBITS,gefitinib
USP37 gene,INTERACTS_WITH,INHIBITS,gefitinib
SETD3 gene,INTERACTS_WITH,INHIBITS,gefitinib
FOXA2 gene,INTERACTS_WITH,INHIBITS,SETDB1 gene
Suppressor,INTERACTS_WITH,INHIBITS,SETDB1 gene
CD274 gene,INTERACTS_WITH,INHIBITS,Tumor Suppressor Genes
Oncogenes,INTERACTS_WITH,INHIBITS,Tumor Suppressor Genes
MicroRNAs,INTERACTS_WITH,INHIBITS,Tumor Suppressor Genes
Oncogenes,INTERACTS_WITH,INHIBITS,Tumor Suppressor Genes
Hypoxia-Inducible Factor 1,INTERACTS_WITH,INHIBITS,HSP90 Heat-Shock Proteins
Hypoxia-Inducible Factor 1,INTERACTS_WITH,INHIBITS,HSP90 Heat-Shock Proteins
COA6 gene,INTERACTS_WITH,INHIBITS,NADH
SLC22A3 wt Allele,INTERACTS_WITH,INHIBITS,PTEN gene
gemcitabine,INTERACTS_WITH,INHIBITS,KCNH2 gene
MYC Family Genes,INTERACTS_WITH,INHIBITS,Mucin-1 protein
britannin,INTERACTS_WITH,INHIBITS,ZEB1 gene
britannin,INTERACTS_WITH,INHIBITS,ZEB1 gene
Proteins,INTERACTS_WITH,INHIBITS,SNAI2 gene
MKI67 gene,INTERACTS_WITH,INHIBITS,NSUN2 gene
QSOX1 gene,INTERACTS_WITH,INHIBITS,NSUN2 gene
QSOX1 gene,INTERACTS_WITH,INHIBITS,NSUN2 gene
QSOX1 gene,INTERACTS_WITH,INHIBITS,NSUN2 gene
QSOX1 gene,INTERACTS_WITH,INHIBITS,NSUN2 gene
Xanthine Dehydrogenase,INTERACTS_WITH,INHIBITS,Hypoxanthine
POU6F1 gene,INTERACTS_WITH,INHIBITS,ENO1 gene
EIF5A gene,INTERACTS_WITH,INHIBITS,FOXP4-AS1 gene
"RNA, Small Interfering",INTERACTS_WITH,INHIBITS,FOXP4-AS1 gene
Small Molecule,INTERACTS_WITH,INHIBITS,p21 K-Ras Protein
phosphoinositidase C,INTERACTS_WITH,INHIBITS,alpha-Synuclein
Mitogen-Activated Protein Kinase 3,INTERACTS_WITH,INHIBITS,alpha-Synuclein
shikonin,INTERACTS_WITH,INHIBITS,PKM gene
shikonin,INTERACTS_WITH,INHIBITS,PKM gene
Cisplatin,INTERACTS_WITH,INHIBITS,PKM gene
Cisplatin,INTERACTS_WITH,INHIBITS,PKM gene
LINC00891 gene,INTERACTS_WITH,INHIBITS,RHOA gene
GTF2H1 gene,INTERACTS_WITH,INHIBITS,Microtubule-Associated Proteins 1A/1B Light Chain 3-II
ANTXR1 wt Allele,INTERACTS_WITH,INHIBITS,DDR1 gene
ACE2 gene,INTERACTS_WITH,INHIBITS,"Receptor, Angiotensin, Type 1"
ACE2 gene,INTERACTS_WITH,INHIBITS,"Receptor, Angiotensin, Type 1"
"Antigens, CD274",INTERACTS_WITH,INHIBITS,TCEA1 gene
STAT3 gene,INTERACTS_WITH,INHIBITS,S100A4 gene
olaparib,INTERACTS_WITH,INHIBITS,PARP1 gene
Poly(ADP-ribose) polymerase inhibitor,INTERACTS_WITH,INHIBITS,PARP1 gene
Niraparib,INTERACTS_WITH,INHIBITS,PARP1 gene
PARP1 gene,INTERACTS_WITH,INHIBITS,olaparib
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,pemetrexed
ceritinib,INTERACTS_WITH,INHIBITS,NT5E gene
POU6F1 gene,INTERACTS_WITH,INHIBITS,HIF1A gene
TP53 gene,INTERACTS_WITH,INHIBITS,ABCA1 gene
TP53 gene,INTERACTS_WITH,INHIBITS,ABCA1 gene
SOX2 Transcription Factor,INTERACTS_WITH,INHIBITS,METTL3 gene
SOX2 Transcription Factor,INTERACTS_WITH,INHIBITS,METTL3 gene
heterogeneous nuclear ribonucleoprotein A2-B1,INTERACTS_WITH,INHIBITS,METTL3 gene
SOX2 Transcription Factor,INTERACTS_WITH,INHIBITS,METTL3 gene
SOX2 Transcription Factor,INTERACTS_WITH,INHIBITS,METTL3 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,SLC5A2 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,SLC5A2 gene
MIR145 gene,INTERACTS_WITH,INHIBITS,GOLM1 gene
MIR145 gene,INTERACTS_WITH,INHIBITS,GOLM1 gene
NSUN2 gene,INTERACTS_WITH,INHIBITS,MKI67 gene
Vemurafenib,INTERACTS_WITH,INHIBITS,BRAF gene
Cisplatin,INTERACTS_WITH,INHIBITS,shikonin
PKM gene,INTERACTS_WITH,INHIBITS,shikonin
PKM gene,INTERACTS_WITH,INHIBITS,shikonin
KCNH2 gene,INTERACTS_WITH,INHIBITS,gemcitabine
Doxorubicin,INTERACTS_WITH,INHIBITS,gemcitabine
MicroRNAs,INTERACTS_WITH,INHIBITS,Response Elements
MicroRNAs,INTERACTS_WITH,INHIBITS,Response Elements
PARP1 gene,INTERACTS_WITH,INHIBITS,Poly(ADP-ribose) polymerase inhibitor
Antibodies,INTERACTS_WITH,INHIBITS,BLNK gene
Small Molecule,INTERACTS_WITH,INHIBITS,"PSMD10 protein, human"
CD274 gene,INTERACTS_WITH,INHIBITS,IRF1 gene
CD274 gene,INTERACTS_WITH,INHIBITS,IRF1 gene
KPNA2 gene,INTERACTS_WITH,INHIBITS,IRF1 gene
MIR21 gene,INTERACTS_WITH,INHIBITS,IRF1 gene
"STAT5A protein, human",INTERACTS_WITH,INHIBITS,IRF1 gene
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Tamoxifen
EIF2S1 wt Allele,INTERACTS_WITH,INHIBITS,mitogen-activated protein kinase p38
IRF1 gene,INTERACTS_WITH,INHIBITS,MIR21 gene
paired basic amino acid cleaving enzyme,INTERACTS_WITH,INHIBITS,CXCL9 wt Allele
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,corilagin
VWF gene,INTERACTS_WITH,INHIBITS,Glycogen
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Transforming Growth Factor beta
Pharmacologic Substance,INTERACTS_WITH,INHIBITS,Transforming Growth Factor beta
Fusion protein,INTERACTS_WITH,INHIBITS,Transforming Growth Factor beta
TBX1 wt Allele,INTERACTS_WITH,INHIBITS,Transforming Growth Factor beta
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Transforming Growth Factor beta
"Antigens, CD274",INTERACTS_WITH,INHIBITS,Transforming Growth Factor beta
MicroRNAs,INTERACTS_WITH,INHIBITS,"RNA, Long Untranslated"
MicroRNAs,INTERACTS_WITH,INHIBITS,"RNA, Long Untranslated"
mitogen-activated protein kinase p38,INTERACTS_WITH,INHIBITS,EIF2S1 wt Allele
WEE1 gene,INTERACTS_WITH,INHIBITS,Poly(ADP-ribose) Polymerases
BCL2 gene,INTERACTS_WITH,INHIBITS,Poly(ADP-ribose) Polymerases
WEE1 gene,INTERACTS_WITH,INHIBITS,Poly(ADP-ribose) Polymerases
Plasminogen Activator Inhibitor 1,INTERACTS_WITH,INHIBITS,SMAD3 gene
LINC00511 gene,INTERACTS_WITH,INHIBITS,SMAD3 gene
Hypoxia-Inducible Factor 1,INTERACTS_WITH,INHIBITS,gingerol
RNA Recognition Motif,INTERACTS_WITH,INHIBITS,CAMP gene
Pharmaceutical Preparations,INTERACTS_WITH,INHIBITS,Importins
Antibodies,INTERACTS_WITH,INHIBITS,PDCD1 gene
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,Octamer Transcription Factor-3
Microtubule-Associated Proteins 1A/1B Light Chain 3-II,INTERACTS_WITH,INHIBITS,GTF2H1 gene
celecoxib,INTERACTS_WITH,INHIBITS,"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human"
cyclooxygenase 1,INTERACTS_WITH,INHIBITS,"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human"
Pentoxifylline,INTERACTS_WITH,INHIBITS,BAX gene
BCL2 gene,INTERACTS_WITH,INHIBITS,BAX gene
BCL2 gene,INTERACTS_WITH,INHIBITS,BAX gene
GMFG gene,INTERACTS_WITH,INHIBITS,BAX gene
caspase-3,INTERACTS_WITH,INHIBITS,BAX gene
Benzene ring,INTERACTS_WITH,INHIBITS,MCL1 gene
Cyanides,INTERACTS_WITH,INHIBITS,MCL1 gene
BMI1 gene,INTERACTS_WITH,INHIBITS,MCL1 gene
MTUS1 gene,INTERACTS_WITH,INHIBITS,pembrolizumab
Mediator brand of benfluorex hydrochloride,INTERACTS_WITH,INHIBITS,"Antibodies, Blocking"
Lidocaine,INTERACTS_WITH,INHIBITS,Stromal Cell-Derived Factor 1
Lidocaine,INTERACTS_WITH,INHIBITS,Stromal Cell-Derived Factor 1
"MPZL1 protein, human",INTERACTS_WITH,INHIBITS,"PTK2 protein, human"
Proto-Oncogene Proteins c-akt,INTERACTS_WITH,INHIBITS,"PTK2 protein, human"
BCAR1 gene,INTERACTS_WITH,INHIBITS,"PTK2 protein, human"
BCAR1 gene,INTERACTS_WITH,INHIBITS,"PTK2 protein, human"
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human",INTERACTS_WITH,INHIBITS,cyclooxygenase 1
cytokine,INTERACTS_WITH,INHIBITS,cytotoxic T-lymphocyte antigen 4
MTUS1 gene,INTERACTS_WITH,INHIBITS,cytotoxic T-lymphocyte antigen 4
"Antibodies, Bispecific",INTERACTS_WITH,INHIBITS,cytotoxic T-lymphocyte antigen 4
"Antigens, CD274",INTERACTS_WITH,INHIBITS,cytotoxic T-lymphocyte antigen 4
